Year,Men,Women,Men_Upper,Men_Lower,Women_Upper,Women_Lower
1980,0.042908398,0.050112998,0.069721321,0.024495887,0.079334867,0.029229107
1981,0.043658843,0.050513642,0.069429748,0.025654431,0.078186596,0.030245586
1982,0.044468281,0.050974765,0.069322611,0.026977325,0.077213355,0.031461696
1983,0.045342773,0.051502158,0.069163192,0.028150958,0.076567471,0.032598027
1984,0.046284926,0.052099365,0.069172961,0.029518034,0.075961608,0.033792772
1985,0.047295149,0.052754468,0.069329398,0.030916459,0.075239798,0.035041729
1986,0.048354411,0.053454762,0.069177814,0.032410314,0.074656636,0.036212208
1987,0.049462041,0.054193322,0.069402851,0.034031632,0.074156259,0.037544972
1988,0.050616235,0.05496577,0.069777682,0.035444859,0.074023508,0.038996693
1989,0.051807151,0.055762127,0.070564627,0.037116555,0.073846145,0.040360122
1990,0.053017411,0.056560472,0.071051414,0.038661358,0.073737707,0.041675362
1991,0.054239402,0.057352835,0.071266333,0.040274795,0.073638187,0.043022357
1992,0.055502231,0.058161576,0.07175524,0.041947522,0.073636316,0.044448712
1993,0.056809715,0.058989277,0.072203732,0.04377448,0.073578874,0.045942659
1994,0.058152043,0.059835139,0.072914966,0.045616295,0.073817101,0.047456757
1995,0.059532122,0.060703885,0.073636082,0.047348986,0.074121248,0.048811496
1996,0.06096202,0.061608476,0.074424225,0.049216168,0.074318469,0.050102769
1997,0.062423347,0.062533771,0.075165762,0.051052033,0.074642105,0.05151573
1998,0.063927902,0.063475374,0.076170308,0.052991538,0.075032981,0.052951794
1999,0.065459733,0.064436315,0.077199535,0.054827632,0.075587453,0.054386932
2000,0.067029801,0.065413801,0.078106974,0.056789169,0.076196864,0.055720364
2001,0.06862598,0.066397899,0.079314078,0.058775968,0.07663807,0.05721449
2002,0.070236725,0.067373065,0.080536278,0.060581093,0.077384295,0.058446104
2003,0.071868643,0.068349776,0.082044181,0.062327511,0.078102071,0.059681495
2004,0.073525902,0.069344825,0.08378948,0.064232021,0.078936453,0.060862496
2005,0.075193422,0.070347193,0.085448735,0.065845467,0.079855459,0.061988354
2006,0.076854376,0.071348015,0.087305987,0.067403306,0.080999801,0.062904993
2007,0.07850319,0.072347336,0.089371644,0.068802593,0.082260679,0.063521986
2008,0.080128677,0.073334484,0.091688734,0.069832713,0.083796455,0.064133086
2009,0.08171334,0.07429733,0.094383419,0.070494254,0.085351799,0.064508162
2010,0.083321672,0.07528244,0.097120966,0.071067908,0.087253839,0.064804819
2011,0.084942896,0.076280294,0.100004441,0.071542417,0.089450696,0.064861803
2012,0.086593959,0.07731405,0.103441097,0.071905797,0.091749156,0.064802497
2013,0.088270546,0.078378102,0.106982887,0.072033416,0.094422034,0.064575254
2014,0.089992015,0.079486747,0.110861326,0.071938974,0.096957716,0.064432118
